x_value,total_1,total_2,total_3,total_4,total_5
0,1000,1000,1000,1000,1000
1,1000,1008,1001,982,991
2,1062,1021,1001,986,981
3,1045,1028,996,821.6666666666667,961
4,1046,1031,988,835.6666666666667,959
5,1091,1043,984,1002.8000000000001,954
6,1103,1045,969,1016.8000000000001,958
7,1166,1044,965,1017.8000000000001,933
8,1150,1049,968,1031.8000000000002,929
9,1204,1051,959,859.8333333333335,904
10,1216,1049,949,1031.8000000000002,875
11,1233,1050,939,1016.8000000000002,861
12,1297,1050,938,1220.16,844
13,1287,1054,931,1218.16,833
14,1319,1061,919,1197.16,822
15,1362,1072,915,1436.592,819
16,1390,1078,919,1723.9104,822
17,1388,1079,908,1742.9104,795
18,1416,1094,896,1743.9104,771
19,1425,1104,887,1773.9104,770
20,1429,1118,891,1478.2586666666666,759
21,1481,1224,891,1494.2586666666666,754
22,1504,1226,894,1472.2586666666666,741
23,1508,1329,895,1461.2586666666666,719
24,1507,1333,884,1753.5104,721
25,1529,1343,873,1744.5104,712
26,1596,1343,870,2093.41248,694
27,1598,1346,875,1744.5104000000001,685
28,1595,1354,864,2093.41248,674
29,1611,1368,864,2512.094976,671
30,1599,1381,866,3014.5139711999996,676
31,1644,1395,853,3023.5139711999996,667
32,1675,1409,853,3035.5139711999996,659
33,1745,1409,847,2529.594976,660
34,1732,1410,841,2107.9958133333334,650
35,1738,1421,846,2110.9958133333334,631
36,1767,1422,845,2533.194976,636
37,1764,1428,833,2110.9958133333334,609
38,1829,1441,827,2105.9958133333334,602
39,1851,1441,821,2108.9958133333334,580
40,1837,1447,821,2100.9958133333334,550
41,1887,1454,817,2117.9958133333334,550
42,1945,1465,805,1764.9965111111112,521
43,1971,1470,795,1778.9965111111112,508
44,1987,1479,781,1785.9965111111112,510
45,2054,1480,774,1765.9965111111112,490
46,2057,1483,764,2119.1958133333333,473
47,2037,1481,769,1765.9965111111112,451
48,2040,1492,755,1749.9965111111112,455
49,2046,1496,744,2099.9958133333334,458
50,1969,1504,734,2097.9958133333334,456
51,1943,1506,728,1748.3298444444447,428
52,1872,1511,721,1456.9415370370373,406
53,1793,1509,764,1214.1179475308645,398
54,1706,1509,839,1011.7649562757205,370
55,1655,1519,903,843.1374635631004,370
56,1643,1534,979,868.1374635631004,374
57,1650,1549,1046,881.1374635631004,362
58,1631,1557,1107,893.1374635631004,339
59,1535,1671,1135,877.1374635631004,325
60,1516,1683,1235,886.1374635631004,310
61,1419,1695,1255,738.4478863025837,298
62,1436,1701,1265,755.4478863025837,300
63,1455,1709,1313,629.5399052521531,289
64,1458,1717,1355,524.6165877101275,268
65,1457,1728,1426,508.61658771012753,264
66,1408,1732,1413,610.339905252153,241
67,1403,1730,1502,591.339905252153,232
68,1334,1735,1576,597.339905252153,226
69,1284,1740,1635,575.339905252153,213
70,1271,1841,1690,556.339905252153,195
71,1271,1840,1709,667.6078863025836,169
72,1273,1853,1741,693.6078863025836,169
73,1181,1858,1728,832.3294635631003,148
74,1116,1873,1783,851.3294635631003,142
75,1017,1886,1862,835.3294635631003,134
76,1024,1887,1856,865.3294635631003,127
77,972,1899,1880,894.3294635631003,97
78,940,1914,1877,914.3294635631003,72
79,959,1912,1910,933.3294635631003,65
80,898,1924,1931,907.3294635631003,40
81,874,1936,2002,907.3294635631003,223
82,858,1934,1993,756.1078863025836,333
83,871,1932,2044,630.089905252153,501
84,879,1944,2038,756.1078863025836,601
85,788,1949,2022,774.1078863025836,794
86,702,1961,2105,749.1078863025836,939
87,643,1976,2118,771.1078863025836,930
88,660,1977,2195,782.1078863025836,1123
89,580,1990,2253,651.7565719188196,1152
90,543,2003,2299,657.7565719188196,1275
91,485,2004,2336,646.7565719188196,1371
92,512,2006,2321,660.7565719188196,1416
93,591,2109,2317,687.7565719188196,1424
94,581,2116,2316,669.7565719188196,1612
95,579,2131,2310,803.7078863025836,1775
96,627,2141,2304,811.7078863025836,1993
97,725,2147,2291,816.7078863025836,2020
98,784,2257,2280,788.7078863025836,2099
99,771,2255,2278,946.4494635631003,2269
100,765,2258,2268,930.4494635631003,2346
101,809,2268,2255,918.4494635631003,2459
102,892,2280,2244,928.4494635631003,2570
103,924,2293,2249,1114.1393562757203,2625
104,1020,2402,2243,1098.1393562757203,2715
105,1047,2417,2235,915.1161302297669,2730
106,1037,2421,2222,924.1161302297669,2863
107,1084,2420,2218,897.1161302297669,2855
108,1082,2430,2212,893.1161302297669,3006
109,1086,2438,2200,873.1161302297669,3069
110,1179,2438,2191,1047.7393562757202,3156
111,1248,2450,2192,873.1161302297669,3321
112,1286,2464,2196,727.5967751914725,3363
113,1334,2467,2187,606.3306459928938,3354
114,1422,2466,2185,606.3306459928938,3412
115,1452,2479,2179,602.3306459928938,3539
116,1497,2493,2181,611.3306459928938,3538
117,1581,2491,2174,588.3306459928938,3720
118,1561,2506,2176,705.9967751914725,3756
119,1533,2512,2170,685.9967751914725,3808
